rank,checkpoint_name,checkpoint_path,vocab_path,stage_name,epoch,best_val_loss,validity_pct,uniqueness_pct_of_valid,novelty_pct_of_valid,novelty_pct_of_unique_valid,valid_count,unique_valid_count,filtered_candidate_count,filtered_candidate_pct_of_unique_valid,average_clinical_score,best_clinical_score,output_dir,top_invalid_reasons,top_decoded_tokens
1,genorova_diabetes_finetune_best.pt,genorova\outputs\models\diabetes\genorova_diabetes_finetune_best.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,finetune,10,1.661646556854248,6.0,100.0,72.22,72.22,18,18,15,83.33,0.8462,0.9299,genorova\outputs\evaluation\day_next_checkpoint_compare_repaired\genorova_diabetes_finetune_best,"{""unbalanced_parentheses"": 198, ""ring_closure_mismatch"": 47, ""unbalanced_brackets"": 23, ""rdkit_parse_failure"": 9, ""long_repetitive_fragment"": 5}","{""c"": 2901, ""C"": 2509, "")"": 1244, ""("": 1209, ""1"": 768, ""O"": 712, ""="": 455, ""N"": 425, ""2"": 417, ""<unk>"": 400}"
2,genorova_diabetes_finetune_final.pt,genorova\outputs\models\diabetes\genorova_diabetes_finetune_final.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,finetune,10,1.661646556854248,6.0,100.0,72.22,72.22,18,18,15,83.33,0.8462,0.9299,genorova\outputs\evaluation\day_next_checkpoint_compare_repaired\genorova_diabetes_finetune_final,"{""unbalanced_parentheses"": 198, ""ring_closure_mismatch"": 47, ""unbalanced_brackets"": 23, ""rdkit_parse_failure"": 9, ""long_repetitive_fragment"": 5}","{""c"": 2901, ""C"": 2509, "")"": 1244, ""("": 1209, ""1"": 768, ""O"": 712, ""="": 455, ""N"": 425, ""2"": 417, ""<unk>"": 400}"
3,genorova_diabetes_pretrain_best.pt,genorova\outputs\models\diabetes\genorova_diabetes_pretrain_best.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,pretrain,20,1.0259726681607835,1.33,100.0,100.0,100.0,4,4,4,100.0,0.8471,0.9183,genorova\outputs\evaluation\day_next_checkpoint_compare_repaired\genorova_diabetes_pretrain_best,"{""unbalanced_parentheses"": 214, ""ring_closure_mismatch"": 54, ""long_repetitive_fragment"": 16, ""unbalanced_brackets"": 7, ""rdkit_parse_failure"": 5}","{""c"": 2842, ""C"": 2320, "")"": 1098, ""("": 1073, ""1"": 827, ""O"": 502, ""2"": 483, ""="": 386, ""n"": 355, ""N"": 300}"
4,genorova_diabetes_pretrain_final.pt,genorova\outputs\models\diabetes\genorova_diabetes_pretrain_final.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,pretrain,20,1.0259726681607835,1.33,100.0,100.0,100.0,4,4,4,100.0,0.8471,0.9183,genorova\outputs\evaluation\day_next_checkpoint_compare_repaired\genorova_diabetes_pretrain_final,"{""unbalanced_parentheses"": 214, ""ring_closure_mismatch"": 54, ""long_repetitive_fragment"": 16, ""unbalanced_brackets"": 7, ""rdkit_parse_failure"": 5}","{""c"": 2842, ""C"": 2320, "")"": 1098, ""("": 1073, ""1"": 827, ""O"": 502, ""2"": 483, ""="": 386, ""n"": 355, ""N"": 300}"
