rank,checkpoint_name,checkpoint_path,vocab_path,stage_name,epoch,best_val_loss,validity_pct,uniqueness_pct_of_valid,novelty_pct_of_valid,novelty_pct_of_unique_valid,valid_count,unique_valid_count,average_clinical_score,best_clinical_score,output_dir,top_invalid_reasons,top_decoded_tokens
1,genorova_diabetes_best.pt,genorova\outputs\models\diabetes\genorova_diabetes_best.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes.json,,83,0.1767134487628937,0.0,0.0,0.0,0.0,0,0,,,genorova\outputs\evaluation\day5_checkpoint_compare_all\genorova_diabetes_best,"{""unbalanced_parentheses"": 20, ""ring_closure_mismatch"": 3, ""rdkit_parse_failure"": 1, ""long_repetitive_fragment"": 1}","{""c"": 437, ""C"": 155, "")"": 75, ""("": 56, ""1"": 35, ""O"": 35, ""2"": 20, ""="": 15, ""N"": 14, ""n"": 7}"
2,genorova_diabetes_pretrain_best.pt,genorova\outputs\models\diabetes\genorova_diabetes_pretrain_best.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,pretrain,1,0.44811105728149414,0.0,0.0,0.0,0.0,0,0,,,genorova\outputs\evaluation\day5_checkpoint_compare_all\genorova_diabetes_pretrain_best,"{""ring_closure_mismatch"": 13, ""low_character_diversity"": 12}","{""c"": 666, ""C"": 121, ""1"": 13}"
3,genorova_diabetes_pretrain_final.pt,genorova\outputs\models\diabetes\genorova_diabetes_pretrain_final.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,pretrain,1,0.44811105728149414,0.0,0.0,0.0,0.0,0,0,,,genorova\outputs\evaluation\day5_checkpoint_compare_all\genorova_diabetes_pretrain_final,"{""low_character_diversity"": 13, ""ring_closure_mismatch"": 12}","{""c"": 661, ""C"": 127, ""1"": 12}"
4,genorova_diabetes_finetune_best.pt,genorova\outputs\models\diabetes\genorova_diabetes_finetune_best.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,finetune,1,0.24397926330566405,0.0,0.0,0.0,0.0,0,0,,,genorova\outputs\evaluation\day5_checkpoint_compare_all\genorova_diabetes_finetune_best,"{""low_character_diversity"": 13, ""unbalanced_parentheses"": 11, ""ring_closure_mismatch"": 1}","{""c"": 478, ""C"": 135, "")"": 11, ""1"": 1, ""O"": 1}"
5,genorova_diabetes_finetune_final.pt,genorova\outputs\models\diabetes\genorova_diabetes_finetune_final.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,finetune,1,0.24397926330566405,0.0,0.0,0.0,0.0,0,0,,,genorova\outputs\evaluation\day5_checkpoint_compare_all\genorova_diabetes_finetune_final,"{""unbalanced_parentheses"": 11, ""low_character_diversity"": 10, ""ring_closure_mismatch"": 4}","{""c"": 476, ""C"": 134, "")"": 11, ""1"": 4, ""O"": 1}"
