rank,checkpoint_name,checkpoint_path,vocab_path,stage_name,epoch,best_val_loss,validity_pct,uniqueness_pct_of_valid,novelty_pct_of_valid,novelty_pct_of_unique_valid,valid_count,unique_valid_count,filtered_candidate_count,filtered_candidate_pct_of_unique_valid,average_clinical_score,best_clinical_score,mean_raw_length,mean_valid_length,mean_valid_molecular_weight,mean_valid_qed,output_dir,top_invalid_reasons,common_invalid_endings,top_decoded_tokens
1,smilesvae_ar_best.pt,genorova\outputs\models\ar\smilesvae_ar_best.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocab_ar.json,,21,0.5375596880912781,74.2,98.92,100.0,100.0,371,367,349,95.1,0.8456,0.9591,37.312,36.5849,305.6385,0.8016,genorova\outputs\evaluation\ar_vs_baseline_minlen_500\smilesvae_ar_best,"{""ring_closure_mismatch"": 47, ""long_repetitive_fragment"": 34, ""unbalanced_parentheses"": 28, ""rdkit_parse_failure"": 20}","{"")cc1"": 19, "")CC1"": 10, ""ccc1"": 9, ""2)c1"": 8, ""cc21"": 6, ""(C)C"": 5, ""C1=O"": 5, ""c2c1"": 5, ""c1OC"": 4, ""nH]1"": 4}","{""c"": 4778, ""C"": 3877, ""("": 1795, "")"": 1783, ""1"": 1394, ""2"": 963, ""O"": 930, ""N"": 820, ""="": 729, ""n"": 497}"
2,genorova_diabetes_finetune_best.pt,genorova\outputs\models\diabetes\genorova_diabetes_finetune_best.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,finetune,10,1.661646556854248,10.0,100.0,74.0,74.0,50,50,43,86.0,0.8366,0.9191,75.704,27.8,248.6668,0.7077,genorova\outputs\evaluation\ar_vs_baseline_minlen_500\genorova_diabetes_finetune_best,"{""rdkit_parse_failure"": 296, ""long_repetitive_fragment"": 70, ""ring_closure_mismatch"": 42, ""unbalanced_parentheses"": 28, ""unbalanced_brackets"": 14}","{""ccc1"": 8, ""CCC1"": 8, ""c1C2"": 4, ""c1c2"": 4, ""2CC1"": 4, ""CC)C"": 3, ""OCC1"": 3, ""2)O1"": 3, ""CC11"": 3, ""c1C1"": 3}","{""C"": 8913, ""c"": 6745, ""1"": 3360, ""O"": 3039, ""("": 2877, "")"": 2843, ""2"": 1418, ""="": 1254, ""H"": 1074, ""N"": 1047}"
