rank,checkpoint_name,checkpoint_path,vocab_path,stage_name,epoch,best_val_loss,validity_pct,uniqueness_pct_of_valid,novelty_pct_of_valid,novelty_pct_of_unique_valid,valid_count,unique_valid_count,average_clinical_score,best_clinical_score,output_dir,top_invalid_reasons,top_decoded_tokens
1,genorova_diabetes_pretrain_best.pt,genorova\outputs\models\diabetes\genorova_diabetes_pretrain_best.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,pretrain,20,1.0259726681607835,1.0,100.0,100.0,100.0,1,1,0.9311,0.9311,genorova\outputs\evaluation\post_repair_compare\genorova_diabetes_pretrain_best,"{""unbalanced_parentheses"": 64, ""ring_closure_mismatch"": 27, ""long_repetitive_fragment"": 7, ""rdkit_parse_failure"": 1}","{""c"": 1016, ""C"": 700, ""("": 355, "")"": 339, ""1"": 308, ""O"": 178, ""2"": 147, ""="": 146, ""N"": 119, ""n"": 75}"
2,genorova_diabetes_pretrain_final.pt,genorova\outputs\models\diabetes\genorova_diabetes_pretrain_final.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,pretrain,20,1.0259726681607835,1.0,100.0,100.0,100.0,1,1,0.9311,0.9311,genorova\outputs\evaluation\post_repair_compare\genorova_diabetes_pretrain_final,"{""unbalanced_parentheses"": 64, ""ring_closure_mismatch"": 27, ""long_repetitive_fragment"": 7, ""rdkit_parse_failure"": 1}","{""c"": 1016, ""C"": 700, ""("": 355, "")"": 339, ""1"": 308, ""O"": 178, ""2"": 147, ""="": 146, ""N"": 119, ""n"": 75}"
3,genorova_diabetes_finetune_best.pt,genorova\outputs\models\diabetes\genorova_diabetes_finetune_best.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,finetune,10,1.661646556854248,0.0,0.0,0.0,0.0,0,0,,,genorova\outputs\evaluation\post_repair_compare\genorova_diabetes_finetune_best,"{""unbalanced_parentheses"": 69, ""ring_closure_mismatch"": 19, ""unbalanced_brackets"": 7, ""long_repetitive_fragment"": 4, ""rdkit_parse_failure"": 1}","{""c"": 1066, ""C"": 694, ""("": 382, "")"": 376, ""1"": 281, ""O"": 219, ""="": 170, ""N"": 132, ""2"": 130, ""n"": 51}"
4,genorova_diabetes_finetune_final.pt,genorova\outputs\models\diabetes\genorova_diabetes_finetune_final.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,finetune,10,1.661646556854248,0.0,0.0,0.0,0.0,0,0,,,genorova\outputs\evaluation\post_repair_compare\genorova_diabetes_finetune_final,"{""unbalanced_parentheses"": 69, ""ring_closure_mismatch"": 19, ""unbalanced_brackets"": 7, ""long_repetitive_fragment"": 4, ""rdkit_parse_failure"": 1}","{""c"": 1066, ""C"": 694, ""("": 382, "")"": 376, ""1"": 281, ""O"": 219, ""="": 170, ""N"": 132, ""2"": 130, ""n"": 51}"
