rank,checkpoint_name,checkpoint_path,vocab_path,stage_name,epoch,best_val_loss,validity_pct,uniqueness_pct_of_valid,novelty_pct_of_valid,novelty_pct_of_unique_valid,valid_count,unique_valid_count,filtered_candidate_count,filtered_candidate_pct_of_unique_valid,average_clinical_score,best_clinical_score,mean_raw_length,mean_valid_length,mean_valid_molecular_weight,mean_valid_qed,output_dir,top_invalid_reasons,common_invalid_endings,top_decoded_tokens
1,smilesvae_ar_best.pt,genorova\outputs\models\ar\smilesvae_ar_best.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocab_ar.json,,21,0.5375596880912781,72.0,99.31,100.0,100.0,144,143,135,94.41,0.8437,0.9568,37.595,36.4306,304.2104,0.7998,genorova\outputs\evaluation\ar_vs_baseline_minlen_smoke\smilesvae_ar_best,"{""ring_closure_mismatch"": 19, ""unbalanced_parentheses"": 17, ""long_repetitive_fragment"": 10, ""rdkit_parse_failure"": 10}","{"")cc1"": 6, ""cc21"": 5, "")CC1"": 5, ""ccc1"": 5, ""(C)C"": 3, ""2)c1"": 3, ""c2c1"": 3, ""nH]1"": 2, ""C1=O"": 2, ""CCC2"": 2}","{""c"": 1948, ""C"": 1546, ""("": 706, "")"": 701, ""1"": 555, ""2"": 393, ""O"": 364, ""N"": 332, ""="": 288, ""n"": 218}"
2,genorova_diabetes_finetune_best.pt,genorova\outputs\models\diabetes\genorova_diabetes_finetune_best.pt,C:\Users\pushp\OneDrive\Desktop\organic chemistry\genorova\outputs\vocabulary_diabetes_pretrain.json,finetune,10,1.661646556854248,12.0,100.0,79.17,79.17,24,24,20,83.33,0.8342,0.9191,74.8,27.6667,249.5992,0.7087,genorova\outputs\evaluation\ar_vs_baseline_minlen_smoke\genorova_diabetes_finetune_best,"{""rdkit_parse_failure"": 116, ""long_repetitive_fragment"": 31, ""unbalanced_parentheses"": 13, ""ring_closure_mismatch"": 12, ""unbalanced_brackets"": 4}","{""ccc1"": 3, ""CC)C"": 2, ""2)O1"": 2, ""CC11"": 2, ""nH]1"": 2, ""1CC1"": 2, ""21C1"": 2, ""1C2C"": 1, ""2CH]"": 1, ""1O1c"": 1}","{""C"": 3495, ""c"": 2652, ""1"": 1268, ""O"": 1168, ""("": 1146, "")"": 1132, ""2"": 554, ""="": 521, ""H"": 440, ""N"": 425}"
