rank,label,checkpoint_name,temperature,top_k,repetition_penalty,guard_strength,validity_pct,valid_count,unique_valid_count,novelty_pct_of_valid,novelty_pct_of_unique_valid,filtered_candidate_count,filtered_candidate_pct_of_unique_valid,average_clinical_score,best_clinical_score,unbalanced_parentheses_pct,ring_closure_mismatch_pct,unbalanced_brackets_pct,empty_pct,average_invalid_length,common_invalid_endings
1,guard10_temp025,genorova_diabetes_finetune_best.pt,0.25,5,0.75,1.0,9.8,98,86,74.49,81.4,72,83.72,0.834,0.9275,6.43,9.76,3.77,0.0,81.4534,"{"")CC1"": 8, ""1C#N"": 5, ""2)O1"": 9, ""2CC1"": 5, ""2cc1"": 5, ""C)C1"": 9, ""CCC1"": 12, ""c1c2"": 5, ""c2c1"": 6, ""ccc1"": 13}"
2,guard10_temp030,genorova_diabetes_finetune_best.pt,0.3,5,0.75,1.0,9.1,91,81,75.82,82.72,68,83.95,0.84,0.9191,6.16,11.88,4.62,0.0,81.3179,"{"")cc1"": 8, ""1C#N"": 5, ""2)C1"": 4, ""2)O1"": 6, ""C)C1"": 9, ""C1C1"": 5, ""CCC1"": 11, ""O)c1"": 6, ""OCC1"": 5, ""ccc1"": 14}"
3,guard05_temp030,genorova_diabetes_finetune_best.pt,0.3,5,0.75,0.5,8.8,88,80,75.0,81.25,69,86.25,0.8426,0.9191,11.29,16.12,8.33,0.0,84.0406,"{"")cc1"": 7, ""1C#N"": 6, ""1c11"": 5, ""2)O1"": 8, ""21C1"": 6, ""C)C1"": 12, ""CCC1"": 11, ""OCC1"": 4, ""c1C1"": 6, ""ccc1"": 13}"
4,guard10_temp035,genorova_diabetes_finetune_best.pt,0.35,5,0.75,1.0,8.6,86,78,79.07,84.62,65,83.33,0.8347,0.9224,6.56,13.79,5.25,0.0,81.9508,"{"")cc1"": 8, ""1C#N"": 5, ""2CC1"": 5, ""C)C1"": 6, ""CCC1"": 12, ""CCCC"": 5, ""Ccc1"": 7, ""O)C1"": 6, ""O)c1"": 6, ""ccc1"": 13}"
5,baseline_guard0_temp030,genorova_diabetes_finetune_best.pt,0.3,5,0.75,0.0,6.3,63,50,69.84,74.0,41,82.0,0.8411,0.9333,69.26,17.29,7.79,0.0,42.2668,"{"")CC1"": 9, "")cc1"": 41, ""2)c1"": 16, ""=O)O"": 8, ""C)C1"": 7, ""CCC1"": 10, ""CCCC"": 15, ""O)c1"": 11, ""ccc1"": 22, ""l)c1"": 7}"
