smiles,molecular_weight,logp,hbd,hba,passes_lipinski,disease_area
NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,290.37,0.264,1,4,True,infection
NS(N)(=O)=O,96.11,-1.851,2,2,True,infection
OB(O)c1ccccc1,121.93,-0.634,2,2,True,infection
O=[As](O)(O)c1ccccc1,202.04,-0.752,2,1,True,infection
NS(=O)(=O)O,97.09,-1.252,2,2,True,infection
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccccc1,330.37,1.086,4,4,True,infection
Nc1nnc(C(F)(F)S(N)(=O)=O)s1,230.22,-0.542,2,6,True,infection
CN(C)c1nnc(CS(N)(=O)=O)s1,222.29,-0.607,1,6,True,infection
Oc1c(I)cc(Cl)c2cccnc12,305.5,3.198,1,2,True,infection
Oc1cc(F)cc(F)c1,130.09,1.67,1,1,True,infection
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,364.42,3.037,3,5,True,infection
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,330.75,1.891,3,5,True,infection
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.84,2.083,2,4,True,infection
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,338.77,0.924,3,4,True,infection
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,365.84,2.714,2,4,True,infection
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,289.74,0.879,3,4,True,infection
CC1Nc2cc(C(F)(F)F)c(S(N)(=O)=O)cc2S(=O)(=O)N1C,359.35,0.745,2,5,True,infection
CC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1C,325.8,0.379,2,5,True,infection
NS(=O)(=O)c1ccc2[nH]c(-c3cscn3)nc2c1,280.33,1.334,2,5,True,infection
O=c1oc2cc(O)ccc2s1,168.17,1.56,1,4,True,infection
NS(=O)(=O)c1cc(Cl)c(O)c(Cl)c1,242.08,1.346,2,3,True,infection
Cc1ccccc1-c1c(C(=O)NN)[nH]c2ccc(S(N)(=O)=O)cc12,344.4,1.394,4,4,True,infection
Cc1cccc(-c2c(C(=O)NN)[nH]c3ccc(S(N)(=O)=O)cc23)c1,344.4,1.394,4,4,True,infection
Cc1ccc(-c2c(C(=O)NN)[nH]c3ccc(S(N)(=O)=O)cc23)cc1,344.4,1.394,4,4,True,infection
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccccc1F,348.36,1.225,4,4,True,infection
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1cccc(F)c1,348.36,1.225,4,4,True,infection
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccc(F)cc1,348.36,1.225,4,4,True,infection
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccccc1Cl,364.81,1.739,4,4,True,infection
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1cccc(Cl)c1,364.81,1.739,4,4,True,infection
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccc(Cl)cc1,364.81,1.739,4,4,True,infection
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccccc1Br,409.27,1.848,4,4,True,infection
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1cccc(Br)c1,409.27,1.848,4,4,True,infection
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccc(Br)cc1,409.27,1.848,4,4,True,infection
COc1cccc(-c2c(C(=O)NN)[nH]c3ccc(S(N)(=O)=O)cc23)c1,360.4,1.094,4,5,True,infection
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1c(F)c(F)c(F)c(F)c1F,420.32,1.781,4,4,True,infection
NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3,309.34,1.644,1,5,True,infection
NS(=O)(=O)Oc1ccc2c(c1)S(=O)(=O)C(CC1CCCCCC1)=C2,371.48,2.758,1,5,True,infection
Oc1ccccc1O,110.11,1.098,2,2,True,infection
CC(=O)Nc1ccc(O)cc1,151.16,1.351,2,2,True,infection
N#Cc1ccc(O)cc1,119.12,1.264,1,2,True,infection
Nc1ccc(O)cc1,109.13,0.974,2,2,True,infection
O=C(O)c1ccc(O)cc1,138.12,1.09,2,2,True,infection
O=C(O)c1ccccc1O,138.12,1.09,2,2,True,infection
Oc1cc(F)ccc1F,130.09,1.67,1,1,True,infection
Oc1ccc(O)cc1,110.11,1.098,2,2,True,infection
Oc1cccc(O)c1,110.11,1.098,2,2,True,infection
NS(=O)(=O)c1ccc2c(c1)CCC2,197.26,0.823,1,2,True,infection
NC1Cc2ccc(S(N)(=O)=O)cc2C1,212.27,-0.24,2,3,True,infection
NC1Cc2ccc(S(=O)(=O)O)cc2C1,213.26,0.359,2,3,True,infection
CC(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,254.31,-0.063,2,3,True,infection
CC(=O)NC1Cc2ccc(S(=O)(=O)O)cc2C1,255.29,0.537,2,3,True,infection
CC(=O)NC1CCc2cc(S(N)(=O)=O)ccc21,254.31,0.457,2,3,True,infection
CCCC(CCC)C(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,338.47,2.134,2,3,True,infection
