smiles,molecular_weight,logp,hbd,hba,passes_lipinski,disease_area
N[C@H](C(=O)N1CCCC1)C1CCCCC1,210.32,1.516,1,2,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CC1,431.48,2.734,2,5,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,383.46,2.114,2,4,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,359.47,2.421,2,4,True,diabetes
N#Cc1cccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)c1,408.55,1.256,2,6,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc3ccccc3c2)CC1,433.6,2.537,2,5,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,397.54,2.989,2,4,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(F)c(F)c2)CC1,398.48,2.505,3,4,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1,437.51,1.801,2,5,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(Cl)c(Cl)c2)CC1,431.39,3.534,3,4,True,diabetes
CN(C)C(=O)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)cc1,469.63,1.477,3,6,True,diabetes
CN(C)C(=O)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)CC2)cc1,451.59,1.567,3,5,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,401.48,1.752,2,4,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,365.42,2.203,2,3,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,377.51,2.332,2,5,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cncc3ccccc23)CC1,380.49,2.473,2,4,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(Cl)c(Cl)c2)CC1,416.37,3.142,2,4,True,diabetes
N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,303.41,1.174,2,4,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(I)cc2)CC1,473.38,2.44,2,4,True,diabetes
N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,298.35,0.469,2,6,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2cccc3ccccc23)CC1,427.57,3.485,2,5,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cnc3ccccc3c2)CC1,398.53,2.384,2,5,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,449.5,2.372,2,5,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc3ccccc3c2)CC1,397.54,2.989,2,4,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,446.5,3.126,3,5,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1,419.47,1.891,2,4,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(I)cc2)CC1,488.4,2.832,3,4,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,379.5,3.078,2,3,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,467.54,2.282,2,6,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc3ccccc3c2)CC1,427.57,3.485,2,5,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](N)CC1,243.38,0.364,2,4,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc(Cl)c(Cl)c2)CC1,446.4,3.639,2,5,True,diabetes
CCC(C)[C@H](N)C(=O)N1CSCCC1C#N,241.36,1.175,1,4,True,diabetes
CC[C@H](C)[C@H](N)C(=O)N1C[S+]([O-])C[C@H]1C#N,243.33,-0.2,1,4,True,diabetes
CCC(C)[C@H](N)C(=O)N1CCC[C@@]1(C)C#N,223.32,1.264,1,3,True,diabetes
N#C[C@@H]1CSCN1C(=O)C(CCCCN)NC(=O)OCc1ccccc1,376.48,1.835,2,6,True,diabetes
CCC(C)[C@H](N)C(=O)N1CCS[C@H]1C#N,227.33,0.785,1,4,True,diabetes
CCC(C)[C@H](N)C(=O)N1CSC[C@H]1C#N,227.33,0.785,1,4,True,diabetes
CCC(C)[C@H](N)C(=O)N1CCC[C@H]1C#N,209.29,0.874,1,3,True,diabetes
CCC(C)[C@H](N)C(=O)N1CS(=O)(=O)C[C@H]1C#N,259.33,-0.534,1,5,True,diabetes
N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCC1,221.3,1.018,1,3,True,diabetes
CCC(C)[C@H](N)C(=O)N1CCCC[C@H]1C#N,223.32,1.264,1,3,True,diabetes
N#C[C@@H]1CSCN1C(=O)C(N)C1CCCC1,239.34,0.929,1,4,True,diabetes
CCC(C)[C@H](N)C(=O)N1COC[C@H]1C#N,211.26,0.068,1,4,True,diabetes
N#C[C@@H]1CSCN1C(=O)C(N)C1CCCCC1,253.37,1.319,1,4,True,diabetes
CCOC(=O)c1cnc(CN)c2cc(OC)c(OC)cc12.Cl,326.78,2.309,1,6,True,diabetes
CCOC(=O)c1cnc(CN(C)C)c2cc(OC)c(OC)cc12.Cl,354.83,2.912,0,6,True,diabetes
COc1cc2c(C=O)cnc(CN)c2cc1OC.Cl,282.73,1.945,1,5,True,diabetes
COc1cc2c(CO)cnc(CN)c2cc1OC.Cl,284.74,1.625,2,5,True,diabetes
NC(C(=O)N1CCCC1)C1CCCC1,196.29,1.126,1,2,True,diabetes
CCCNC(=O)c1cnc(CN)c2cc(OC)c(OC)cc12.Cl,339.82,2.272,2,5,True,diabetes
N#C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1,193.25,0.253,1,3,True,diabetes
CCOC(=O)Nc1cnc(CN)c2cc(OC)c(OC)cc12.Cl,341.8,2.701,2,6,True,diabetes
O=C([C@H](CO)NCc1ccccc1)N1CCCC1,248.33,0.759,2,3,True,diabetes
CCOC(=O)c1cnc(CN)c2ccc(OC)cc12.Cl,296.75,2.301,1,5,True,diabetes
CCOC(=O)c1cnc(CN)c2cc(OC)c(OCC)cc12.Cl,340.81,2.699,1,6,True,diabetes
N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1,235.33,1.409,1,3,True,diabetes
CCCC[C@H](N)C(=O)N1CCCC1,184.28,1.126,1,2,True,diabetes
CCCOc1cc2c(CN)ncc(C(=O)OCC)c2cc1OC.Cl,354.83,3.089,1,6,True,diabetes
COc1cc2c(C(=O)O)cnc(CN)c2cc1OC.Cl,298.73,1.831,2,5,True,diabetes
CCOC(=O)c1cnc(CCN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,418.37,2.563,2,7,True,diabetes
CCOC(=O)c1cnc(CN)c2c(OC)ccc(OC)c12.Cl,326.78,2.309,1,6,True,diabetes
CCOC(=O)CCc1cnc(CN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,432.4,2.84,2,7,True,diabetes
NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCCC1,333.43,2.033,2,4,True,diabetes
N#C[C@@H]1CCCN1C(=O)C(N)C1CCCC1,221.3,1.018,1,3,True,diabetes
N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,224.31,-0.043,2,4,True,diabetes
CCOC(=O)c1cnc(CN)c2cc(OCC)c(OC)cc12.Cl,340.81,2.699,1,6,True,diabetes
NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCCC1,319.41,1.643,2,4,True,diabetes
CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C#N,209.29,0.874,1,3,True,diabetes
N[C@@H](CCC(=O)OCc1ccccc1)C(=O)N1CCCC1,290.36,1.46,1,4,True,diabetes
C[C@@H](O)[C@H](N)C(=O)N1CCCC1,172.23,-0.683,2,3,True,diabetes
COc1cc2c(C(N)=O)cnc(CN)c2cc1OC.Cl,297.74,1.231,2,5,True,diabetes
CNC(C(=O)N1CCCC1)[C@H](C)O,186.25,-0.422,2,3,True,diabetes
CCOC(=O)/C=C/c1cnc(CN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,430.38,2.92,2,7,True,diabetes
CCOC(=O)c1cnc(CNC)c2cc(OC)c(OC)cc12.Cl,340.81,2.57,1,6,True,diabetes
CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1C#N,209.29,0.874,1,3,True,diabetes
CCOC(=O)c1cnc(CN)c2cc(O)c(OC)cc12.Cl,312.75,2.006,2,6,True,diabetes
N[C@@H](CCC(=O)O)C(=O)N1CCCC1,200.24,-0.199,2,3,True,diabetes
CC(C)(C)[C@H](N)C(=O)N1CCCC1,184.28,0.982,1,2,True,diabetes
CCOC(=O)Cc1cnc(CN)c2cc(OC)c(OC)cc12.Cl,340.81,2.238,1,6,True,diabetes
CCOC(=O)c1cnc(CN)c2cc(OC)c(OC)c(OC)c12.Cl,356.81,2.318,1,7,True,diabetes
N[C@H](C(=O)N1CCCC1)c1ccccc1,204.27,1.309,1,2,True,diabetes
CCOC(=O)c1cnc(CN)c2c(OC)cc(OC)cc12.Cl,326.78,2.309,1,6,True,diabetes
N#C[C@@H]1CCCN1C(=O)CNCCNc1ccc([N+](=O)[O-])cn1,318.34,0.506,2,7,True,diabetes
CCOC(=O)c1cnc(CN)c2c(OC)c(OC)c(OC)cc12.Cl,356.81,2.318,1,7,True,diabetes
Cc1cccc(C)c1N1C(=O)c2ccc(N)cc2C1=O,266.3,2.686,1,3,True,diabetes
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(O)cc2C1=O,323.39,4.44,1,3,True,diabetes
CSc1ccccc1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,314.32,3.117,0,5,True,diabetes
Cc1cccc(C)c1N1C(=O)c2cccc(N)c2C1=O,266.3,2.686,1,3,True,diabetes
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc(O)c2C1=O,323.39,4.44,1,3,True,diabetes
Cc1cccc(C)c1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,296.28,3.012,0,4,True,diabetes
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(N)cc2C1=O,322.41,4.316,1,3,True,diabetes
Cc1cccc(C)c1N1C(=O)c2ccccc2C1=O,251.28,3.104,0,2,True,diabetes
Cc1cccc(C)c1N1C(=O)c2cccc(O)c2C1=O,267.28,2.81,1,3,True,diabetes
