smiles,molecular_weight,logp,hbd,hba,passes_lipinski,is_valid
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(CNC(=S)Nc4cccc(S(N)(=O)=O)c4)OC(C)(C)O[C@@H]23)O1,473.57300000000026,1.0185000000000008,3,8,True,True
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(CNC(=S)Nc4ccc(S(N)(=O)=O)cc4)OC(C)(C)O[C@@H]23)O1,473.57300000000026,1.0185000000000008,3,8,True,True
O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],191.95000000000002,-11.7446,0,5,True,True
NS(=O)(=O)c1cc(C(=O)O)c(NCC2CCCO2)cc1Cl,334.78100000000006,1.2765,3,5,True,True
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,380.66200000000003,0.8210000000000004,3,5,True,True
NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,290.36599999999993,0.2639999999999998,1,4,True,True
NS(N)(=O)=O,96.11099999999999,-1.8514,2,2,True,True
OB(O)c1ccccc1,121.93199999999996,-0.6336000000000004,2,2,True,True
O=[As](O)(O)c1ccccc1,202.041,-0.7524000000000004,2,1,True,True
NS(=O)(=O)O,97.09499999999998,-1.2520999999999995,2,2,True,True
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccccc1,330.369,1.0858000000000003,4,4,True,True
Nc1nnc(C(F)(F)S(N)(=O)=O)s1,230.221,-0.5419,2,6,True,True
CN(C)c1nnc(CS(N)(=O)=O)s1,222.295,-0.6074000000000002,1,6,True,True
Oc1c(I)cc(Cl)c2cccnc12,305.502,3.1984000000000004,1,2,True,True
Oc1cc(F)cc(F)c1,130.09300000000002,1.6703999999999999,1,1,True,True
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,364.42300000000006,3.036500000000001,3,5,True,True
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,330.749,1.8907,3,5,True,True
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.84200000000004,2.0834,2,4,True,True
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,338.77200000000005,0.9242000000000001,3,4,True,True
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,365.8420000000001,2.714120000000001,2,4,True,True
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,289.74399999999997,0.8788000000000005,3,4,True,True
CC1Nc2cc(C(F)(F)F)c(S(N)(=O)=O)cc2S(=O)(=O)N1C,359.35100000000006,0.7448000000000004,2,5,True,True
CC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1C,325.79900000000004,0.37940000000000007,2,5,True,True
NS(=O)(=O)c1ccc2[nH]c(-c3cscn3)nc2c1,280.334,1.3338,2,5,True,True
O=c1oc2cc(O)ccc2s1,168.17299999999997,1.5601,1,4,True,True
NS(=O)(=O)c1cc(Cl)c(O)c(Cl)c1,242.083,1.3464000000000003,2,3,True,True
Cc1ccccc1-c1c(C(=O)NN)[nH]c2ccc(S(N)(=O)=O)cc12,344.39600000000013,1.39422,4,4,True,True
Cc1cccc(-c2c(C(=O)NN)[nH]c3ccc(S(N)(=O)=O)cc23)c1,344.39600000000013,1.3942199999999998,4,4,True,True
Cc1ccc(-c2c(C(=O)NN)[nH]c3ccc(S(N)(=O)=O)cc23)cc1,344.39600000000013,1.39422,4,4,True,True
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccccc1F,348.35900000000004,1.2249000000000005,4,4,True,True
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1cccc(F)c1,348.35900000000004,1.2249000000000008,4,4,True,True
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccc(F)cc1,348.35900000000004,1.2249000000000005,4,4,True,True
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccccc1Cl,364.8140000000001,1.7392000000000005,4,4,True,True
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1cccc(Cl)c1,364.8140000000001,1.7392000000000005,4,4,True,True
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccc(Cl)cc1,364.8140000000001,1.7392000000000007,4,4,True,True
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccccc1Br,409.26500000000004,1.8483000000000005,4,4,True,True
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1cccc(Br)c1,409.26500000000004,1.8483000000000005,4,4,True,True
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1ccc(Br)cc1,409.26500000000004,1.8483000000000007,4,4,True,True
COc1cccc(-c2c(C(=O)NN)[nH]c3ccc(S(N)(=O)=O)cc23)c1,360.3950000000001,1.0943999999999998,4,5,True,True
NNC(=O)c1[nH]c2ccc(S(N)(=O)=O)cc2c1-c1c(F)c(F)c(F)c(F)c1F,420.3190000000001,1.7813000000000005,4,4,True,True
NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3,309.34300000000013,1.6441999999999999,1,5,True,True
NS(=O)(=O)Oc1ccc2c(c1)S(=O)(=O)C(CC1CCCCCC1)=C2,371.4800000000003,2.757600000000001,1,5,True,True
Oc1ccccc1O,110.11199999999998,1.0977999999999999,2,2,True,True
CC(=O)Nc1ccc(O)cc1,151.165,1.3505999999999998,2,2,True,True
N#Cc1ccc(O)cc1,119.12299999999996,1.26388,1,2,True,True
Nc1ccc(O)cc1,109.12799999999999,0.9743999999999999,2,2,True,True
O=C(O)c1ccc(O)cc1,138.12199999999999,1.0903999999999998,2,2,True,True
O=C(O)c1ccccc1O,138.12199999999999,1.0903999999999998,2,2,True,True
Oc1cc(F)ccc1F,130.093,1.6704,1,1,True,True
Oc1ccc(O)cc1,110.11199999999998,1.0977999999999999,2,2,True,True
Oc1cccc(O)c1,110.11199999999998,1.0977999999999999,2,2,True,True
NS(=O)(=O)c1ccc2c(c1)CCC2,197.25899999999993,0.8227000000000002,1,2,True,True
NC1Cc2ccc(S(N)(=O)=O)cc2C1,212.27399999999994,-0.24009999999999954,2,3,True,True
NC1Cc2ccc(S(=O)(=O)O)cc2C1,213.25799999999995,0.3591999999999999,2,3,True,True
CC(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,254.31099999999995,-0.0626999999999997,2,3,True,True
CC(=O)NC1Cc2ccc(S(=O)(=O)O)cc2C1,255.29499999999996,0.5365999999999997,2,3,True,True
CC(=O)NC1CCc2cc(S(N)(=O)=O)ccc21,254.31099999999998,0.45740000000000014,2,3,True,True
CCCC(CCC)C(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,338.4730000000001,2.1338,2,3,True,True
CCCC(CCC)C(=O)NC1CCc2cc(S(N)(=O)=O)ccc21,338.47300000000007,2.6539,2,3,True,True
NS(=O)(=O)c1ccc2c(c1)CC(NC(=O)C1CCCCC1)C2,322.4300000000002,1.4976999999999994,2,3,True,True
NS(=O)(=O)c1ccc2c(c1)CCC2NC(=O)C1CCCCC1,322.4300000000002,2.0178,2,3,True,True
NS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1c(F)c(F)c(F)c(F)c1F)C2,406.33200000000005,1.9267,2,3,True,True
NS(=O)(=O)c1ccc2c(c1)CCC2NC(=O)c1c(F)c(F)c(F)c(F)c1F,406.332,2.4468000000000005,2,3,True,True
NS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1c(F)c(F)cc(F)c1F)C2,388.34200000000004,1.7876,2,3,True,True
CCC(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,268.338,0.3273999999999998,2,3,True,True
CCCC(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,282.36500000000007,0.7175000000000001,2,3,True,True
CCCCC(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,296.39200000000005,1.1076000000000001,2,3,True,True
CCCCCCCCCC(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,366.52700000000016,3.0581000000000005,2,3,True,True
CCCCCCCCCC(=O)NC1CCc2cc(S(N)(=O)=O)ccc21,366.5270000000001,3.5782000000000016,2,3,True,True
COc1ccc(Cl)cc1C(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,380.8530000000002,1.8932000000000002,2,4,True,True
NS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1ccc(Cl)cc1)C2,350.827,1.8846,2,3,True,True
COc1cc2c(cc1OC)C(c1ccccc1)N(S(N)(=O)=O)CC2,348.42400000000015,1.8547999999999998,1,4,True,True
COc1cc2c(cc1OC)C(c1ccc(Br)cc1)N(S(N)(=O)=O)CC2,427.32000000000016,2.617300000000001,1,4,True,True
COc1cc2c(cc1OC)C(c1ccc(Cl)cc1)N(S(N)(=O)=O)CC2,382.86900000000014,2.5082000000000004,1,4,True,True
COc1cc2c(cc1OC)C(c1ccc(C#N)cc1)N(S(N)(=O)=O)CC2,373.43400000000014,1.7264799999999998,1,5,True,True
COc1cc2c(cc1OC)C(c1ccc(F)cc1)N(S(N)(=O)=O)CC2,366.41400000000016,1.9939,1,4,True,True
