smiles,molecular_weight,logp,hbd,hba,passes_lipinski,is_valid
Cl.O=C([C@@H]1CCCN1)N1CCCC1P1(=O)Oc2ccccc2-c2ccccc2O1,434.8600000000001,4.4402000000000035,1,5,True,True
COc1ccc(OP(=O)(Oc2ccc(OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,496.9280000000003,4.477000000000004,1,7,True,True
Cl.O=C([C@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,436.8760000000001,4.459800000000003,1,5,True,True
Cl.O=C(C1CCCN1)N1CCCC1P(=O)(Oc1ccc(O)cc1)Oc1ccc(O)cc1,468.87400000000014,3.871000000000002,3,7,True,True
N[C@H](C(=O)N1CCCC1)C1CCCCC1,210.32099999999994,1.516399999999999,1,2,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CC1,431.48000000000013,2.7340000000000018,2,5,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,383.4640000000001,2.1136,2,4,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,359.4700000000001,2.4213000000000005,2,4,True,True
N#Cc1cccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)c1,408.54900000000026,1.2555799999999997,2,6,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc3ccccc3c2)CC1,433.5990000000002,2.5371000000000006,2,5,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,397.54400000000015,2.9886000000000017,2,4,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(F)c(F)c2)CC1,398.4790000000001,2.5053,3,4,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1,437.5090000000002,1.8011999999999995,2,5,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(Cl)c(Cl)c2)CC1,431.3890000000001,3.533900000000002,3,4,True,True
CN(C)C(=O)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)cc1,469.6330000000003,1.477400000000001,3,6,True,True
CN(C)C(=O)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)CC2)cc1,451.59300000000036,1.5669000000000008,3,5,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,401.47900000000016,1.7515999999999994,2,4,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,365.4240000000001,2.2031,2,3,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,377.51000000000016,2.3318000000000003,2,5,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cncc3ccccc23)CC1,380.49200000000013,2.4731000000000005,2,4,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(Cl)c(Cl)c2)CC1,416.37400000000014,3.1422000000000017,2,4,True,True
N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,303.4060000000001,1.1742799999999989,2,4,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(I)cc2)CC1,473.3800000000001,2.4400000000000004,2,4,True,True
N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,298.34999999999997,0.46935999999999933,2,6,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2cccc3ccccc23)CC1,427.5700000000002,3.485000000000002,2,5,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cnc3ccccc3c2)CC1,398.53200000000015,2.3836000000000004,2,5,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,449.4950000000002,2.372,2,5,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc3ccccc3c2)CC1,397.54400000000015,2.9886000000000017,2,4,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,446.4950000000001,3.125700000000001,3,5,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1,419.46900000000016,1.8906999999999992,2,4,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(I)cc2)CC1,488.3950000000001,2.8317000000000014,3,4,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,379.50400000000013,3.078100000000002,2,3,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,467.5350000000002,2.2824999999999998,2,6,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc3ccccc3c2)CC1,427.5700000000002,3.485000000000002,2,5,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](N)CC1,243.37599999999995,0.36409999999999976,2,4,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc(Cl)c(Cl)c2)CC1,446.4000000000002,3.638600000000003,2,5,True,True
CCC(C)[C@H](N)C(=O)N1CSCCC1C#N,241.35999999999996,1.17498,1,4,True,True
CC[C@H](C)[C@H](N)C(=O)N1C[S+]([O-])C[C@H]1C#N,243.33199999999997,-0.19961999999999946,1,4,True,True
CCC(C)[C@H](N)C(=O)N1CCC[C@@]1(C)C#N,223.31999999999994,1.2644799999999998,1,3,True,True
N#C[C@@H]1CSCN1C(=O)C(CCCCN)NC(=O)OCc1ccccc1,376.4820000000001,1.8354799999999993,2,6,True,True
CCC(C)[C@H](N)C(=O)N1CCS[C@H]1C#N,227.33299999999997,0.7848800000000001,1,4,True,True
CCC(C)[C@H](N)C(=O)N1CSC[C@H]1C#N,227.33299999999997,0.7848800000000001,1,4,True,True
CCC(C)[C@H](N)C(=O)N1CCC[C@H]1C#N,209.29299999999995,0.8743799999999998,1,3,True,True
CCC(C)[C@H](N)C(=O)N1CS(=O)(=O)C[C@H]1C#N,259.33099999999996,-0.5335199999999987,1,5,True,True
